2021-04-26T00:00:00+00:00,1619395200000,47.45,48.265,44.9,47.1925,12949300.264
2021-04-26T04:00:00+00:00,1619409600000,47.1925,48.5,45.765,47.93,9733486.01475
2021-04-26T08:00:00+00:00,1619424000000,47.93,48.3725,45.4525,45.5275,9291889.13825
2021-04-26T12:00:00+00:00,1619438400000,45.5275,47.59,45.23,46.93,11059934.3075
2021-04-26T16:00:00+00:00,1619452800000,46.93,47.315,44.85,45.3375,7607339.58375
2021-04-26T20:00:00+00:00,1619467200000,45.3375,45.6,43.3675,43.9475,12992355.1125
2021-04-27T00:00:00+00:00,1619481600000,43.9475,46.5875,43.7575,45.105,10855376.45675
2021-04-27T04:00:00+00:00,1619496000000,45.105,46.4,44.4225,45.745,9909340.7765
2021-04-27T08:00:00+00:00,1619510400000,45.745,46.35,44.69,45.2375,8819202.587
2021-04-27T12:00:00+00:00,1619524800000,45.2375,45.345,42.6525,43.93,17543632.83925
2021-04-27T16:00:00+00:00,1619539200000,43.93,44.0625,42.5475,43.5,12121707.4465
2021-04-27T20:00:00+00:00,1619553600000,43.5,44.735,43.095,43.255,10086414.692
2021-04-28T00:00:00+00:00,1619568000000,43.255,45.095,42,43.2475,13966309.0335
2021-04-28T04:00:00+00:00,1619582400000,43.2475,43.7025,40.7325,42.5375,13740038.35225
2021-04-28T08:00:00+00:00,1619596800000,42.5375,44.095,41.535,44.095,12283168.0105
2021-04-28T12:00:00+00:00,1619611200000,44.095,46.8575,43.885,45.8175,24218325.96275
2021-04-28T16:00:00+00:00,1619625600000,45.8175,46.9,45.015,45.625,8427957.7745
2021-04-28T20:00:00+00:00,1619640000000,45.625,46.04,44.125,44.845,8928133.1875
2021-04-29T00:00:00+00:00,1619654400000,44.845,46.105,43.0475,43.2675,10981145.7925
2021-04-29T04:00:00+00:00,1619668800000,43.2675,44.47,42.93,43.67,8034160.66
2021-04-29T08:00:00+00:00,1619683200000,43.67,44.59,42.7275,44.1025,8468197.4
2021-04-29T12:00:00+00:00,1619697600000,44.1025,44.75,43.395,44.3075,7995123.38625
2021-04-29T16:00:00+00:00,1619712000000,44.3075,44.665,40.765,41.97,24957834.36325
2021-04-29T20:00:00+00:00,1619726400000,41.97,42.6875,41.28,42.53,7790591.682
2021-04-30T00:00:00+00:00,1619740800000,42.53,42.99,41.2375,42.28,12261493.043
2021-04-30T04:00:00+00:00,1619755200000,42.28,43.1,42.25,43.0275,8778784.49125
2021-04-30T08:00:00+00:00,1619769600000,43.0275,44.31,42.7375,43.0075,13413087.07775
